_id	word	level_id	length	order	hint
381	СЕРТИФИКАТ	66	20	2	
382	АПТЕКАРЬ	66	16	3	
383	БАЗИЛИК	66	14	4	
384	ОТМЕТКА	66	14	5	
385	КРАХМАЛ	66	14	6	
386	КНОПКА	66	12	7	
387	ПЯТКА	66	10	8	
388	КЛЁН	66	8	9	
389	КРАНОВЩИЦА	67	20	1	
390	МОРОЖЕНОЕ	67	18	2	
391	МЫШЕЛОВКА	67	18	3	
392	СКВОЗНЯК	67	16	4	
393	КУКУРУЗА	67	16	5	
394	ГАЛСТУК	67	14	6	
395	ВИХРЬ	67	10	7	
396	ПОШИВ	67	10	8	
397	КУШ	67	6	9	
398	МАСТЕРИЦА	68	18	1	
399	БЕЗУМИЕ	68	14	2	
400	КОМНАТА	68	14	3	
401	КАПУСТА	68	14	4	
402	ЧЕЛОВЕК	68	14	5	
403	БРОКЕР	68	12	6	
404	КРЕПЁЖ	68	12	7	
405	ЗАБЕГ	68	10	8	
406	КРЕМ	68	8	9	
407	ЛОБ	68	6	10	
408	ОСА	68	6	11	
409	ЛАБОРАНТКА	69	20	1	
410	МЕКСИКАНКА	69	20	2	
411	РЕВНОСТЬ	69	16	3	
412	ПОВОРОТ	69	14	4	
413	ПЛАТЁЖ	69	12	5	
414	ЙОГУРТ	69	12	6	
415	УСТЬЕ	69	10	7	
416	ЦИРК	69	8	8	
417	УКОЛ	69	8	9	
418	КОФЕ	69	8	10	
419	КОНСЬЕРЖКА	70	20	1	
420	АКВАТОРИЯ	70	18	2	
421	БРИТАНЕЦ	70	16	3	
422	МАШИНИСТ	70	16	4	
423	РЕМЕШОК	70	14	5	
424	БОРЬБА	70	12	6	
425	ТОПОТ	70	10	7	
426	БОСС	70	8	8	
427	НОША	70	8	9	
428	МАГ	70	6	10	
429	ПРОМЕЖУТОК	71	20	1	
430	ПАТРИОТИЗМ	71	20	2	
431	ХРАБРОСТЬ	71	18	3	
432	ПЛАСТИЛИН	71	18	4	
433	РЕЖИССЁР	71	16	5	
434	ПЕРЕПАД	71	14	6	
435	РЕМОНТ	71	12	7	
436	ПРИЮТ	71	10	8	
437	ПОМОЙКА	72	14	1	
438	ТАБУРЕТ	72	14	2	
439	ОХАПКА	72	12	3	
440	ДЕРЕВО	72	12	4	
441	ПЕВИЦА	72	12	5	
442	ПОЗЫВ	72	10	6	
443	ВЗМАХ	72	10	7	
444	БОМБА	72	10	8	
445	НАЛОГ	72	10	9	
446	ОКНО	72	8	10	
447	ПАЁК	72	8	11	
448	РОЖЬ	72	8	12	
449	КИНОТЕАТР	73	18	1	
450	ПЕРЕКИСЬ	73	16	2	
451	ПОДВОРЬЕ	73	16	3	
452	ПОДЖАРКА	73	16	4	
453	ДНЕВНИК	73	14	5	
454	БУБЛИК	73	12	6	
455	РАЗУМ	73	10	7	
456	КОЛЕЯ	73	10	8	
457	ОФИС	73	8	9	
458	КЛЕЙ	73	8	10	
459	ПАРФЮМЕРИЯ	74	20	1	
460	АККОРДЕОН	74	18	2	
461	ГОРОЖАНИН	74	18	3	
462	ГОСТИНЕЦ	74	16	4	
463	МЕТЕОРИТ	74	16	5	
464	ДЕПУТАТ	74	14	6	
465	СЕКРЕТ	74	12	7	
466	ГРОМ	74	8	8	
467	ЛЕЩ	74	6	9	
468	ПОПЕЧИТЕЛЬ	75	20	1	
469	ЭКЗЕМПЛЯР	75	18	2	
470	ЗАКВАСКА	75	16	3	
471	БУРУНДУК	75	16	4	
472	ОПЕРАЦИЯ	75	16	5	
473	АДВОКАТ	75	14	6	
474	СУМКА	75	10	7	
475	АРМИЯ	75	10	8	
476	РОСТ	75	8	9	
477	ПАРАДИГМА	76	18	1	
478	СВЕЖЕСТЬ	76	16	2	
479	ПРИРОДА	76	14	3	
480	МИЛЛИОН	76	14	4	
481	КРОЛИК	76	12	5	
482	СТРАУС	76	12	6	
483	КЛЮКВА	76	12	7	
484	ДУКАТ	76	10	8	
485	ВЕТКА	76	10	9	
486	ЖАКЕТ	76	10	10	
487	КАТАСТРОФА	77	20	1	
488	ОСНОВАТЕЛЬ	77	20	2	
489	ПРИЗВАНИЕ	77	18	3	
490	БРАСЛЕТ	77	14	4	
491	ПРИМЕР	77	12	5	
492	БАЗИС	77	10	6	
493	СУФЛЕ	77	10	7	
494	ПОЧВА	77	10	8	
495	УЗЕЛ	77	8	9	
496	СУП	77	6	10	
497	ЗАПОВЕДНИК	78	20	1	
498	ХОЗЯЙСТВО	78	18	2	
499	ЛЮБИТЕЛЬ	78	16	3	
500	ПРОПОЛКА	78	16	4	
501	ЛЬДИНА	78	12	5	
502	ПОДЛЕЦ	78	12	6	
503	ГОСТЬ	78	10	7	
504	СОВОК	78	10	8	
505	ШВЕЯ	78	8	9	
506	ИСК	78	6	10	
507	ПРАВОСУДИЕ	79	20	1	
508	МЕЛАНХОЛИК	79	20	2	
509	ПЕРЕМИРИЕ	79	18	3	
510	КОРОНАЦИЯ	79	18	4	
511	ОБЛАВА	79	12	5	
512	ЛОВЛЯ	79	10	6	
513	ВЕДРО	79	10	7	
514	РОЛЛ	79	8	8	
515	ПИР	79	6	9	
516	РИС	79	6	10	
517	АЛЬБАТРОС	80	18	1	
518	ГРОМКОСТЬ	80	18	2	
519	ПЕРЕБЕЖКА	80	18	3	
520	РАСКРАСКА	80	18	4	
521	ПЛАСТЫРЬ	80	16	5	
522	ПЕРЕДАЧА	80	16	6	
523	МЕБЕЛЬ	80	12	7	
524	СИНИЦА	80	12	8	
525	КОМПОЗИТОР	81	20	1	
526	ИМЕНИННИК	81	18	2	
527	МИКРОФОН	81	16	3	
528	ЭКОЛОГИЯ	81	16	4	
529	МОНАРХИЯ	81	16	5	
530	КОСИЛКА	81	14	6	
531	ПРИЛЁТ	81	12	7	
532	КОВШ	81	8	8	
533	РЕПА	81	8	9	
534	МАСТЕРСТВО	82	20	1	
535	МАРАФОНЕЦ	82	18	2	
536	ОТМЩЕНИЕ	82	16	3	
537	ГЕНЕТИК	82	14	4	
538	ЛАПОТЬ	82	12	5	
539	ТЕКИЛА	82	12	6	
540	ИГОЛКА	82	12	7	
541	НАВЕС	82	10	8	
542	МАРТ	82	8	9	
543	МЕЧ	82	6	10	
544	ПНЕВМАТИКА	83	20	1	
545	ВЛАСТЕЛИН	83	18	2	
546	АКВАРИУМ	83	16	3	
547	ПАНТЕРА	83	14	4	
548	ТРАКТОР	83	14	5	
549	ПОЛОТНО	83	14	6	
550	ОТБОР	83	10	7	
551	ФАЗА	83	8	8	
552	ЛИГА	83	8	9	
553	КОМ	83	6	10	
554	КУСТАРНИК	84	18	1	
555	ПРИСКАЗКА	84	18	2	
556	ПРОПОВЕДЬ	84	18	3	
557	НЕГОДНИК	84	16	4	
558	ГОБЛИН	84	12	5	
559	БАНДИТ	84	12	6	
560	ПЛЕСК	84	10	7	
561	БАР	84	6	8	
562	МЁД	84	6	9	
563	ШУМ	84	6	10	
564	ЕДА	84	6	11	
565	НЕДОУМЕНИЕ	85	20	1	
566	МАНИФЕСТ	85	16	2	
567	МЕЛОДИЯ	85	14	3	
568	ФАМИЛИЯ	85	14	4	
569	ЗЕВАКА	85	12	5	
570	ПЛУТОН	85	12	6	
571	ОТВЕС	85	10	7	
572	ЖИВОТ	85	10	8	
573	ДОЛГ	85	8	9	
574	ШИК	85	6	10	
575	РАК	85	6	11	
576	РАСПАКОВКА	86	20	1	
577	МАКАРОНИНА	86	20	2	
578	НАПУТСТВИЕ	86	20	3	
579	НЕПОСЕДА	86	16	4	
580	МАРИНАД	86	14	5	
581	ГОНЩИК	86	12	6	
582	КОСТЮМ	86	12	7	
583	АТОМ	86	8	8	
584	БОК	86	6	9	
585	ГОСПИТАЛЬ	87	18	1	
586	ЩЕДРОСТЬ	87	16	2	
587	ПОЛУКРУГ	87	16	3	
588	ПОДТЯЖКА	87	16	4	
589	ШОКОЛАД	87	14	5	
590	ВЫСТРЕЛ	87	14	6	
591	АНШЛАГ	87	12	7	
592	ЛОББИ	87	10	8	
593	ДОМ	87	6	9	
594	ЛЮК	87	6	10	
595	РАССКАЗЧИК	88	20	1	
596	ЛОГИСТИКА	88	18	2	
597	ИСПОВЕДЬ	88	16	3	
598	АНТРЕКОТ	88	16	4	
599	ОЧЕВИДЕЦ	88	16	5	
600	ТИТУЛ	88	10	6	
601	МЕТАН	88	10	7	
602	МЕЛЬ	88	8	8	
603	СЛЕД	88	8	9	
604	ЖАР	88	6	10	
605	ПОКЛОННИЦА	89	20	1	
606	ЛИТЕРАТУРА	89	20	2	
607	МАРГАНЕЦ	89	16	3	
608	ЗАКЛЯТИЕ	89	16	4	
609	ВЫСКОЧКА	89	16	5	
610	ОСАНКА	89	12	6	
611	КОРИЦА	89	12	7	
612	ФЛАГ	89	8	8	
613	ЯЙЦО	89	8	9	
614	ИТАЛЬЯНЕЦ	90	18	1	
615	МОЛЕКУЛА	90	16	2	
616	СПУТНИК	90	14	3	
617	ОЛИГАРХ	90	14	4	
618	ИМПЕРИЯ	90	14	5	
619	АБСОЛЮТ	90	14	6	
620	ПЫТКА	90	10	7	
621	АГАТ	90	8	8	
622	ИГЛА	90	8	9	
623	ВИД	90	6	10	
624	ГАЗ	90	6	11	
625	ДАЛЬТОНИК	91	18	1	
626	ОСОЗНАНИЕ	91	18	2	
627	ДИСКУССИЯ	91	18	3	
628	ПЧЕЛОВОД	91	16	4	
629	ПРОСЬБА	91	14	5	
630	ПРИСЯГА	91	14	6	
631	КОМОД	91	10	7	
632	БУЛКА	91	10	8	
633	ГРИЛЬ	91	10	9	
634	КОЛДОВСТВО	92	20	1	
635	АВИАЛАЙНЕР	92	20	2	
636	ЗВЕЗДОЛЁТ	92	18	3	
637	МАРКЕТИНГ	92	18	4	
638	ЖАСМИН	92	12	5	
639	КОНСУЛ	92	12	6	
640	ЧУЛОК	92	10	7	
641	ВЫЛЕТ	92	10	8	
642	ЕЗДА	92	8	9	
643	КАЛЕНДАРЬ	93	18	1	
644	ПОСТАВЩИК	93	18	2	
645	ГРУЗОВИК	93	16	3	
646	МАСКАРАД	93	16	4	
647	ПОЛОВИНА	93	16	5	
648	ШНИЦЕЛЬ	93	14	6	
649	ГАРСОН	93	12	7	
650	НОМЕР	93	10	8	
651	СНЕГ	93	8	9	
652	ИСПЫТАТЕЛЬ	94	20	1	
653	ЛИХОРАДКА	94	18	2	
654	ОЦИНКОВКА	94	18	3	
655	ИЗГОРОДЬ	94	16	4	
656	ЛАТВИЕЦ	94	14	5	
657	ОТПУСК	94	12	6	
658	ХОККЕЙ	94	12	7	
659	ТОННА	94	10	8	
660	ЛЕЧО	94	8	9	
661	КАНЦЕЛЯРИЯ	95	20	1	
662	ПРЕДМЕСТЬЕ	95	20	2	
663	ДОЗАПРАВКА	95	20	3	
664	ИНСПЕКТОР	95	18	4	
665	ПРИВЯЗКА	95	16	5	
666	ЛЕСТЬ	95	10	6	
667	РУКА	95	8	7	
668	ЧАША	95	8	8	
669	ФАКТ	95	8	9	
670	ИСКЛЮЧЕНИЕ	96	20	1	
671	ПРОКАЗНИЦА	96	20	2	
672	ЗВЕЗДОПАД	96	18	3	
673	КАМЕРА	96	12	4	
674	КОРМА	96	10	5	
675	НАЕЗД	96	10	6	
676	ТОПОР	96	10	7	
677	САПОГ	96	10	8	
678	ПОЛОГ	96	10	9	
679	ДОЧЬ	96	8	10	
680	ПОБЕДИТЕЛЬ	97	20	1	
681	ЗЕМЛЯНИКА	97	18	2	
682	ЯСНОВИДЕЦ	97	18	3	
683	ПРОДАВЕЦ	97	16	4	
684	ЦЫПЛЁНОК	97	16	5	
685	ГРАНИЦА	97	14	6	
686	ОТСЕК	97	10	7	
687	ОЖОГ	97	8	8	
688	МАТЧ	97	8	9	
689	СМОТРИТЕЛЬ	98	20	1	
690	РАСТЯЖЕНИЕ	98	20	2	
691	МЕТАЛЛИСТ	98	18	3	
692	ПОДЗЕМКА	98	16	4	
693	ВОДОЛАЗ	98	14	5	
694	ГЛУПЕЦ	98	12	6	
695	МЕТКА	98	10	7	
696	ВЗДОХ	98	10	8	
697	БЛИК	98	8	9	
698	НАЗНАЧЕНИЕ	99	20	1	
699	ПРОВОКАТОР	99	20	2	
700	ПАССАЖИРКА	99	20	3	
701	КИЛОГРАММ	99	18	4	
702	АВТОДРОМ	99	16	5	
703	СТОЛОВАЯ	99	16	6	
704	КУСОК	99	10	7	
705	ПОЛК	99	8	8	
706	ОСВЕТЛЕНИЕ	100	20	1	
707	МАТЕМАТИКА	100	20	2	
708	ПРИСТРОЙКА	100	20	3	
709	БЕССОННИЦА	100	20	4	
710	ДОЛЖНОСТЬ	100	18	5	
711	КОМПРЕСС	100	16	6	
712	РОСКОШЬ	100	14	7	
713	ПРОСТОФИЛЯ	101	20	1	
714	ЭЛЬДОРАДО	101	18	2	
715	ОТВЕРСТИЕ	101	18	3	
716	ГАРМОНИЯ	101	16	4	
717	БРАТСТВО	101	16	5	
718	СКУПКА	101	12	6	
719	КАТОК	101	10	7	
720	КОПЬЁ	101	10	8	
721	ДЮЙМ	101	8	9	
722	ПРОГРАММА	102	18	1	
723	ОСТРОУМИЕ	102	18	2	
724	АГЕНТСТВО	102	18	3	
725	ЛЕКТОРИЙ	102	16	4	
726	КУЛИНАР	102	14	5	
727	ЛЬСТЕЦ	102	12	6	
728	УГОВОР	102	12	7	
729	ХИМИЯ	102	10	8	
730	АВТОР	102	10	9	
731	КОЛОКОЛЬНЯ	103	20	1	
732	АВИАНОСЕЦ	103	18	2	
733	МИЛЛИМЕТР	103	18	3	
734	ОТВАГА	103	12	4	
735	ПОЛЫНЬ	103	12	5	
736	ОЗНОБ	103	10	6	
737	МОРЯК	103	10	7	
738	АНГЕЛ	103	10	8	
739	РАДИО	103	10	9	
740	ВХОД	103	8	10	
741	ЕГИПТЯНКА	104	18	1	
742	ЖЕСТЯНКА	104	16	2	
743	ЗАВИСТЬ	104	14	3	
744	БАБУШКА	104	14	4	
745	БУРЕЛОМ	104	14	5	
746	ПИАНИНО	104	14	6	
747	ГАРНИР	104	12	7	
748	ПАСТЬ	104	10	8	
749	ПИЩА	104	8	9	
750	СОДА	104	8	10	
751	КИНОКАМЕРА	105	20	1	
752	ПЕРЕБЕЖЧИК	105	20	2	
753	СОЗДАТЕЛЬ	105	18	3	
754	НАПИТОК	105	14	4	
755	СКРИПАЧ	105	14	5	
756	ПИСТОН	105	12	6	
757	КАРАСЬ	105	12	7	
758	ЗЕНИТ	105	10	8	
759	ГОРБ	105	8	9	
760	ИСКУШЕНИЕ	106	18	1	
